SMILES,animalic&ambery,sweety&gourmand,floral,fruity&vegetable,pungent&disagreetable,green&herbal,nutty,woody&mossy,resinous&balsamic,cooked,odorless,spice
CCCCCCOC(=O)CCC(C)C,0,1,0,,0,1,0,0,0,0,0,0
CC1=CC(=O)[C@@H](C(C)C)CC1,0,0,0,0,,1,0,0,0,0,0,
CCCC(=O)CCCC(=O)O,,0,0,,0,0,0,0,0,0,0,0
O=C(CCl)c1ccccc1,0,0,0,0,0,0,0,1,0,0,0,1
O=C1CCC(=O)O1,0,0,0,0,0,0,0,0,0,0,1,0
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,1,0
COc1ccccc1C,0,,,0,,,,,0,0,0,0
CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],0,0,0,0,0,0,0,0,0,0,1,0
CCCCCC=CC=CC(=O)OCCC,,0,0,1,0,1,0,0,0,0,0,0
CCCCC(CC)COC(C)=O,,,0,,,,0,,0,0,0,0
O=COCc1ccccc1,,,,,0,,,,0,0,0,
O=C([O-])C(O)C(O)C(=O)[O-].[Na+].[Na+],0,0,0,0,0,0,0,0,0,0,1,0
C=CCCCCCCCCC=O,,,,1,,,0,0,0,0,0,0
CC1COC(C(C)C)O1,0,,,1,,,0,,0,0,0,0
CC(C)CC=C(C=O)c1ccccc1,0,1,0,,1,1,1,0,0,1,0,0
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O,0,0,0,0,0,0,0,0,0,0,1,0
N[C@@H](CO)C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0
C/C=C(\C)C(=O)OCCCC,0,,,,,1,0,0,0,,0,
OC[C@@H](O)[C@@H](O)CO,0,0,0,0,0,0,0,0,0,0,1,0
CCCc1nccnc1OC,0,0,0,1,,,0,1,,0,0,0
CC1=NCSC1,0,0,0,,1,1,0,0,0,0,0,1
CC(S)C(=O)OCC1CCCO1,0,0,0,1,1,0,0,0,0,1,0,0
CCCCCCCCCCCC(=O)OC,,,,,,0,,,0,0,0,0
CC(=NNC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)[C@@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,0,0,0,0,0,1,0,1,0,0,0,0
CCCCCCCCCCCCCC(=O)O,,,0,,,0,,0,0,0,,0
C=CC(O)CCCCC,,,,,,,0,,0,,0,
CSC/C(C=O)=C/CC(C)C,,0,0,0,1,,0,0,0,,0,
CCCCOCc1ccc(O)c(OC)c1,0,1,0,,,0,0,0,0,0,0,0
C/C=C(/C=O)c1ccccc1,,1,1,,,,,,0,,0,
CCCCCCCCC=CC=CC=CC=CC=O,,0,0,0,0,0,0,0,0,0,0,0
CC(C)CCOC(=O)C(C)c1ccccc1,0,1,0,,0,0,0,0,1,0,0,0
CCCC(C)C(=S)OC,0,,0,1,1,0,0,0,0,0,0,0
CC1=C(C/C=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCC(OCC)OCCC(C)C,0,,0,1,0,1,0,,0,,0,0
CC/C=C/C(=O)OCC,0,,0,1,0,0,0,0,0,0,0,0
CC1SC(C)SC(C)S1,,0,0,,1,1,0,0,0,,0,0
C/C=C1/CC2CC1C1CCCOC21,1,0,1,1,0,1,0,1,0,0,0,
CC(=O)OC/C=C\c1ccccc1,0,0,1,0,0,0,0,0,1,0,0,1
CC/C=C/C=C/C(C)=O,,0,0,,0,,0,,0,0,0,0
C=C(C)C(=O)OC,0,,0,,,,0,0,0,0,0,
CC(=O)c1cc(C)ccc1O,0,,,,,1,0,,0,0,0,
C[C@@H](CC=O)CCCC(C)(C)O,0,0,1,0,0,0,0,0,0,0,0,0
COC,0,0,0,0,,0,0,0,0,0,0,0
CC(C)=CCCC(C)CCOC(=O)C=C(C)C,0,0,1,0,0,1,0,0,0,0,0,0
Cn1cccc1,,,0,0,,1,0,1,,0,0,0
CC(C)=CCCC(C)CCOC(=O)CC(C)C,0,1,1,,,1,0,0,0,0,0,
COC(=O)COc1ccc(C)cc1,,0,0,,0,0,0,0,0,0,0,0
CC1CCCC(O)C1,0,1,0,,1,0,0,,0,0,0,1
COc1cc(C2OC(C)CC(C)(C)O2)ccc1O,0,1,0,0,0,0,0,1,,0,0,0
C=CC=CC=CC=CCCC,0,0,0,,,1,0,1,,0,0,0
CC(C)C1CCC2CC(=O)CCC2C1,0,,1,1,0,1,0,1,0,0,0,
CCC[C@@H](C)O,0,0,0,0,0,,,0,0,0,0,0
CC(C)(CO)C(O)C(=O)NCCC(=O)[O-].CC(C)(CO)C(O)C(=O)NCCC(=O)[O-].[Ca+2],0,0,0,0,0,0,0,0,0,0,1,0
Cc1ccc(OC(=O)C=Cc2ccccc2)cc1,0,0,1,0,0,0,0,0,0,0,0,0
C=C[C@@]1(C)CC[C@H]([C@H](C)C=O)O1,0,0,1,0,0,0,0,0,0,0,0,0
COc1ccc(/C=C(/C)C=O)cc1,0,,1,,0,0,0,0,0,0,0,1
CC=CCCCCCCCC=O,0,0,,,,,0,0,0,0,,0
CC(C)CCOC(=O)c1ccccc1O,0,,1,,,1,0,,,0,0,0
CC/C=C/CCC1CCCC(=O)O1,,1,1,1,0,0,,0,0,,0,0
CC(C)=CCCC1(C)[C@H]2CC=C(C)[C@@H]1C2,0,,0,0,0,1,0,1,0,0,0,0
CCCCCCCCCCCC(=O)OCc1ccccc1,,0,0,0,,0,0,0,0,0,0,0
C=CCCCCCCCCCO,,0,1,,,,0,0,0,0,0,0
OC/C=C\CO,0,0,0,0,0,0,0,0,0,0,1,0
O=S([O-])[O-].[NH4+].[NH4+],0,0,0,0,0,0,0,0,0,0,1,0
CCC(=O)OCc1ccc(C)cc1,0,0,1,,0,0,0,0,0,0,0,0
O=C(OCCc1ccccc1)c1ccccc1,0,,1,0,0,,0,0,,0,0,
O=c1ccc(=O)[nH][nH]1,0,0,0,0,0,0,0,0,0,0,1,0
CCCCC/C=C/C/C=C/C=O,,0,0,0,0,0,0,0,0,0,0,0
CCC(CC(C)C)C(=O)OC(C)C,0,0,0,,0,1,0,0,0,0,0,0
CC(=O)OCC1CCC2CC1C2(C)C,0,1,0,,0,1,0,1,1,0,0,0
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,,0,0,0,,,0,1,0,0,0,0
CCC(C=O)c1ccc(C)o1,,0,0,1,0,1,0,0,0,0,0,0
CC(S)C(=O)O,,0,0,0,1,0,0,0,0,1,0,0
CCCC(=O)SC,,,0,,1,,0,,0,,0,
CCCCN(CCC(=O)OCC)C(C)=O,0,0,0,0,0,0,0,0,0,0,1,0
O.O.O.O.O.O.[Cl-].[Cl-].[Co+2],0,0,0,0,0,0,0,0,0,0,1,0
Cc1cccc(Oc2ccccc2)c1,0,0,1,,0,1,0,0,0,0,0,0
O=C(C=Cc1ccccc1)OCCc1ccccc1,0,,1,,0,,0,0,1,0,0,
CC(C)OCCOC(=O)c1ccccc1O,0,1,1,,0,,0,0,1,0,0,0
CC(=O)C(=O)OCC(C)C,0,1,0,,,0,0,0,0,,0,0
C/C=C\CCCO,0,0,0,1,,1,0,,0,,0,0
C=C1C=CC([C@@H](C)CCC=C(C)C)CC1,0,0,0,,0,1,0,1,0,0,0,0
CC1=CC/C(=C(\C)CCC=O)CC1,0,0,1,0,0,1,0,0,0,0,0,0
CC1(C)[C@H](C[C@H]2C[C@@]2(C)CO)C[C@H]2C[C@]21C,,0,1,1,0,1,0,1,0,0,0,0
C=CCOC(=O)CCCCC,,,,1,,0,0,,,,0,
CCCCCOC(C)OCC,0,,0,1,1,1,0,,0,,0,0
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,,0,0,0,0,0,0,0,0,0,0,0
C[C@@H]1CC[C@H]2[C@@H]1C1[C@@H](CC[C@]2(C)O)C1(C)C,0,1,,,0,1,0,,0,0,0,
CCCCCC(OC)OC,0,,0,,1,1,0,,0,,0,0
CCC=C1OC(=O)c2ccccc21,0,,,,0,1,0,,0,0,0,1
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,0,0,0,0,0,0,0,0,0,0,1,0
N#CN=C1SCCN1Cc1ccc(Cl)nc1,0,0,0,0,0,0,0,0,0,0,1,0
OC1COC(Cc2ccccc2)OC1,0,1,1,1,0,1,0,,0,0,0,
CN(C)C(=O)NC1CCCCCCC1,0,0,0,0,0,0,0,0,0,0,1,0
CC(=O)Oc1ccccc1C,0,,1,,1,0,,0,0,0,0,
C=CC=O,,,0,,,,,0,0,0,,0
CC(=O)/C=C/c1ccccc1,0,,,,,,,,,,0,
CCC(=O)C(C)S,,0,0,,,0,0,0,0,1,0,0
O=C(c1ccccc1)c1cc(Cl)ccc1O,0,0,0,0,0,0,0,0,0,0,1,0
CSc1cnccn1,0,,0,,1,0,1,0,0,,0,0
CC(C)(C)[C@@H]1CCCC[C@H]1O,0,0,0,,0,1,0,0,0,0,0,
Cl[Zn]Cl,0,0,0,0,0,0,0,0,0,0,1,0
C=C/C(C)=C/CCC(=C)C,0,0,,,0,,0,0,0,0,0,0
CCCCCCCC1=CCCC1=O,0,0,1,,0,1,0,0,0,0,0,0
S,0,0,0,0,,0,0,0,0,,,0
C=C(C)C1CCC(C)C(OC(C)=O)C1,,,,,,1,,,,0,0,
FC(F)(Cl)Cl,0,0,0,0,0,0,0,0,0,0,1,0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0,0,0,0,0,0,0,0,0,0,1,0
CC(C)[C@H]1CC[C@H](C)C(=O)C1,0,0,0,0,0,1,0,1,0,0,0,
CC(=O)/C=C/C1=C(C)CCC(C)C1(C)C,0,,,,0,,0,,0,0,,0
CSCCC(=O)C(=O)O,0,0,0,0,1,0,0,0,0,0,0,0
CC(C)N,0,0,0,0,1,0,0,0,0,0,0,0
CC(C)CCCC(=O)OCC(C)C,0,0,0,,0,1,0,0,0,0,0,0
Cc1occc1S,,,0,,,0,,0,0,,0,0
CC1(CO)CC1CC1CC2CC2(C)C1(C)C,,,1,1,0,1,0,1,0,0,0,0
C=C(C)C1CC(=O)C(C)=C(O)C1,0,0,0,0,0,1,0,0,0,0,0,
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)OC=O,1,0,0,0,0,1,0,1,1,0,0,0
O=C(c1ccccc1)c1ccc2ccccc2c1,0,0,1,1,1,,0,0,0,0,0,0
CC(c1ccccc1)C1OCCO1,0,,,1,,1,0,1,0,0,0,
CCOC(=O)C1(CC(C)C)OC1C,0,1,0,1,0,0,0,0,0,,0,0
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],0,0,0,0,,,0,0,0,0,0,0
C12=C3C4C1=C1C2C3C14,0,0,0,,0,0,0,0,0,0,0,1
CCCCCCCCCCCCOC(C)=O,0,,,,0,,0,0,0,0,0,0
CC1(C)[C@H]2CC[C@]3(CO3)[C@@H]1C2,0,0,,0,1,1,0,0,0,0,0,
CCCCOC(=O)CC(=O)[O-],0,0,,1,,0,0,,0,0,0,0
CCc1cccs1,0,0,0,0,0,1,0,0,0,0,0,0
CC(=O)CC1CC(C)CCO1,0,1,1,,0,0,0,0,0,,0,1
SCCc1cnccn1,,0,0,,1,,0,0,0,1,0,0
CCCCCCCCCCOC(=O)CCCCCCC,0,0,1,1,0,0,0,,0,0,0,0
O=C1CCCN1CC#CCN1CCCC1,0,0,0,0,0,0,0,0,0,0,1,0
CCc1nc(C)c(C)s1,0,1,0,0,1,0,1,0,0,0,0,0
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCC(=O)CCCC,0,0,,1,0,1,0,,0,0,0,0
CCCCCC=CCC=CCO,,0,0,0,0,0,0,0,0,0,0,0
[Co],0,0,0,0,0,0,0,0,0,0,1,0
CCC(=O)OCc1ccccc1,0,,1,,0,0,0,0,,,0,0
CC[C@@H](C)CN,0,,0,1,1,0,0,0,0,0,0,0
C/C=C/C(=O)/C(C)=C(/C)C(C)C,0,,1,1,0,0,0,0,0,0,0,0
CC1=CC(C)C(CO)CC1,0,,1,0,0,1,0,0,0,0,0,
CCOC(=O)CC1(C)OCC(C)O1,0,,,1,0,,0,,0,0,0,
CCCCCCCC(=O)OC/C=C(\C)CCC=C(C)C,,,1,,0,1,0,,0,,0,0
CCc1cnc(C)c(C)n1,0,1,0,,1,0,,0,0,1,0,0
C=CC1CC=CCC1,0,0,0,0,,0,0,0,0,0,0,0
CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1.O=S(=O)([O-])O,0,0,0,0,0,0,0,0,0,0,1,0
S=c1nc[nH]c2nc[nH]c12,0,0,0,0,0,0,0,0,0,0,1,0
CC(C)CCOC(=O)CC(C)C,,,,1,0,,0,,0,,0,0
CCOC(/C=C(\C)CCC=C(C)C)OCC,0,,,,0,1,0,0,0,0,0,0
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O.CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,,0,0,0,0,0,0,0,0,0,0,0
CSCCSC,0,,0,,1,,0,0,0,0,0,
CCCC=S,0,0,0,0,0,0,0,0,0,0,1,0
CSSCc1ccco1,,,0,,,,,,,,0,
C/C=C/C(=O)OC1CCCCC1,0,1,1,,0,1,0,1,0,0,0,0
CC/C=C\CCOC(C)=O,0,,0,1,0,1,0,0,0,0,0,0
CCCC(O)CC(=O)OC,0,,,1,,0,0,,0,0,0,0
CCCCCCCCCCCCCC(=O)OCCCCCCC,,0,0,0,0,0,0,0,0,0,0,0
CC1(C)C2CCC3(C2)C1c1ncncc1CC3(C)C,1,0,0,0,0,0,0,1,1,0,0,0
CCCCOC(=O)/C=C/c1ccccc1,0,,,,0,0,0,0,,0,0,
C1CO1.CC1CO1.CCCCCCCCCCCCCCCCO,0,0,0,0,0,0,0,0,0,0,1,0
CC/C=C\CCCCC=O,0,0,,1,0,1,0,,0,0,0,0
O=C(OCCc1ccccc1)c1ccco1,0,1,,,,0,0,,0,,0,0
CCC/C=C/CCCCC(=O)OC(CCCC)CCCCC(=O)O,,,,,0,,0,0,0,0,,0
CCCC(=O)OC(C)C,0,,0,,,,0,0,0,,0,0
CC(C)=CC(=O)O,0,,0,0,,,0,0,0,,0,
CC(=O)C=CC1C(C)CCCC1(C)C,0,0,,0,0,0,0,1,,0,0,0
CC[C@H]1CCC(=O)O1,0,1,0,,0,0,,1,0,0,0,0
CC(=O)OC(C)Cc1ccccc1,0,0,1,,0,1,0,0,0,0,0,0
CC(O)CC(C)(C)c1ccccc1,0,,,0,0,,0,,0,0,0,
C=C(CC(C)C=O)C1CC=C(C)C1(C)C,0,0,0,0,0,,0,1,0,0,0,0
C/C=C/C(=O)OC(CC)C(C)C,0,1,0,,0,1,0,1,0,0,0,0
CC(C)CCON=O,0,0,0,,,0,0,0,0,0,0,0
COc1cc(OC)c2ccc(=O)oc2c1,0,0,0,0,0,0,0,0,0,0,1,0
