dataset,model,best_epoch,val_macro_f1,test_macro_f1,test_micro_f1,test_macro_auroc,test_loss,threshold,optimize_validation_thresholds
odornet,gnn,23,0.40793108529177285,0.32482176001365337,0.3678774928774929,0.7021305005428752,1.3106357047432347,0.5,False
odornet,molformer,24,0.4956550509145327,0.42283491682723523,0.49522852837769965,0.7798190603188316,1.2312622980067605,0.5,False
odornet_raw,gnn,29,0.11365545777538198,0.14756051514526755,0.15833562628022868,0.7895387764933282,1.0736207901215067,0.5,False
odornet_raw,molformer,30,0.18268701494431236,0.23139344575463688,0.29282027217268886,0.8445343790828146,0.8528070766098645,0.5,False
gs_lf,gnn,27,0.15242834936674385,0.15487643488211492,0.16003588248486209,0.7539883002374113,1.1145555101908171,0.5,False
gs_lf,molformer,30,0.20610371432020672,0.2084151053261527,0.24053794428434197,0.8469748138170969,0.9300868786298312,0.5,False
smiles_to_smell,gnn,27,0.12241658501242159,0.12569858792975208,0.12665752171925013,0.7181776741809716,1.1141396231121488,0.5,False
smiles_to_smell,molformer,29,0.15742465122614838,0.16222046145766517,0.18691462839431305,0.8151534312767165,1.0146749350759718,0.5,False
arctander,gnn,28,0.12936311557599034,0.12875468117130784,0.14021479713603818,0.6825051331203909,1.2095210949579875,0.5,False
arctander,molformer,28,0.20157570495362787,0.19373203243924508,0.24295432458697766,0.8037302854233824,1.0360691547393799,0.5,False
